"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù",
"°­º¯ºÏ·Î","¿ùÆò±Õ","","64","61","77","69","74","49","42","26","35","36","48","52","54","61","61","61","52","45","27","24","23","34","60","48","48","63","76","50","64","34","26","23","22","30","39**","48**","46","46","52","49","40","39","20","19","17","33","43","43","39","51","74","46","61","32","21","19","12","26",
"Ã¶¿ø(DMZ)","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29**","42","43","48","61","42","50","29","17","17","14","25",
"È­¶û·Î","¿ùÆò±Õ","","65","58","71","63","72","47","40","30","42","37","48","50","50","54","56","59","46","46**","34*","28","22","29","51","41","41","54","64","40","54","29","28**","19","26","37","45","50**","46","45","51","52","45","41","23","23","0","0","0","48","43","52","69","47","67","38","28","25","16","26",
"½ÃµµÆò±Õ","¿ùÆò±Õ","","61","55","70","66","71","49","44*","32","47","40","53","53","55","59","61","62","52","46","33","31","28","38","66","51","51","65","77","49","60","35","34","33","28","36","45","48","49","45","49","47","40","43","25","25","24","40","48","45","41","53","76","50","67","40","29","26","19","34",
"°ü¾Ç±¸","¿ùÆò±Õ","","49","43","55","59","64","48","35","23","32","28","37","45","47","48","57","57","50","44","26","25","25","35","61","47","72","63","76","48","62","35","26","24","","45**","44","43","43","41","45","43","35","37","23","24","21","33","38","36","33","44","61","38","57","33","25","22","15","26",
"È­Ãµ(DMZ)","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29*","33","33","42","65","42","50","25","17","14","12*","20",
"¹¬È£Ç×","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","26","31","37","35","","","","","","","","","","",
"°øÇ×´ë·Î","¿ùÆò±Õ","","64","70","96","96","83","59","51","40","65","52","60","63","62","62","66","58","48","43","28","27","26","38","74","58","58","60","76","45","53","28**","32*","31","28","37","47","53**","56","46","53","50","39","41","25","25","18**","0","0","48","43","53","75","48","64","36","31","26","18","32",
"°­³²±¸","¿ùÆò±Õ","","58","51","64","57","62","43","35","22","33","27","41","42","43","50","47","47","37","32","21","19","16","24","48","40","61","54","64","34","43","24","29","29","24*","33","44","43","39","38","41","38","31","34","20","23","18","29","36","37","33","46","64","40","60","34","26","22","14","26",
"µ¿ÇØÇ×","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","32","37","48","47","","","","","","","","","","",
"µ¿ÀÛ´ë·Î","¿ùÆò±Õ","","71","65","78","78","74","51","42","31","42","33","50","56","58","65","65","61","55","49","29","30","27","36","62","49","49","63","77","52","68","39","29","25","21","31","38","46","47","46","51","51","48","46","23","22","16**","0","0","46","41","53","71","46","63","35","27","25","19","30",
"Ã»Ãµ¸é","¿ùÆò±Õ","","54","48","49","48","50","33","22","14","23","21","45","44","48","50","43","47","30","26","20","17","23","29","58","38","61","55","57","34","40","32","27","21","17","27","46","47","49","46","43","44","31","44","19","26","26","39","46","52","43","46","55","38","59","36","28","25","24","36",
